模块,类名,方法名,功能描述,输入参数,返回值,时间复杂度,空间复杂度,实现状态,代码位置
向量相似度,VectorSimilarity,l2Distance,"计算两个向量的 L2 (欧氏) 距离","v1: float[] - 第一个向量
v2: float[] - 第二个向量",float - L2 距离值,O(d),O(1),✅ 已实现,VectorSimilarity.java:18-28
向量相似度,VectorSimilarity,cosineSimilarity,"计算两个向量的 Cosine 相似度","v1: float[] - 第一个向量
v2: float[] - 第二个向量",float - Cosine 相似度 (范围 [-1, 1]),O(d),O(1),✅ 已实现,VectorSimilarity.java:37-60
向量相似度,VectorSimilarity,dotProduct,"计算两个向量的点积","v1: float[] - 第一个向量
v2: float[] - 第二个向量",float - 点积值,O(d),O(1),✅ 已实现,VectorSimilarity.java:69-81
向量相似度,VectorSimilarity,batchL2Distance,"批量计算查询向量到多个向量的 L2 距离","query: float[] - 查询向量
vectors: float[][] - 向量数组",float[] - 距离数组,O(n×d),O(n),✅ 已实现,VectorSimilarity.java:90-97
向量相似度,VectorSimilarity,batchCosineSimilarity,"批量计算查询向量到多个向量的 Cosine 相似度","query: float[] - 查询向量
vectors: float[][] - 向量数组",float[] - 相似度数组,O(n×d),O(n),✅ 已实现,VectorSimilarity.java:106-113
向量相似度,VectorSimilarity,batchDotProduct,"批量计算查询向量到多个向量的点积","query: float[] - 查询向量
vectors: float[][] - 向量数组",float[] - 点积数组,O(n×d),O(n),✅ 已实现,VectorSimilarity.java:122-129
向量相似度,VectorSimilarity,findKNearestL2,"基于 L2 距离查找 K 近邻","query: float[] - 查询向量
vectors: float[][] - 向量数组
k: int - 近邻数量",int[] - K 个最近邻的索引 (按距离升序),O(n×d + n×log(n)),O(n),✅ 已实现,VectorSimilarity.java:138-142
向量相似度,VectorSimilarity,findKNearestCosine,"基于 Cosine 相似度查找 K 近邻","query: float[] - 查询向量
vectors: float[][] - 向量数组
k: int - 近邻数量",int[] - K 个最相似向量的索引 (按相似度降序),O(n×d + n×log(n)),O(n),✅ 已实现,VectorSimilarity.java:151-155
KMeans 训练,SimpleKMeansTrainer,构造函数,"创建 KMeans 训练器","nlist: int - 聚类数量
maxIterations: int - 最大迭代次数 (默认 100)",SimpleKMeansTrainer 实例,O(1),O(1),✅ 已实现,SimpleKMeansTrainer.java:22-27
KMeans 训练,SimpleKMeansTrainer,train,"训练 KMeans 聚类模型","vectors: float[][] - 训练向量数组",float[][] - 聚类中心数组 (nlist × dimension),O(n×k×d×i),O(n×d + k×d),✅ 已实现,SimpleKMeansTrainer.java:44-73
KMeans 训练,SimpleKMeansTrainer,assignClusters,"将向量分配到最近的聚类","vectors: float[][] - 待分配向量
centroids: float[][] - 聚类中心",int[] - 每个向量所属的簇 ID,O(n×k×d),O(n),✅ 已实现,SimpleKMeansTrainer.java:164-180
倒排索引,InvertedFileIndex,构造函数,"创建 IVF 索引","nlist: int - 聚类数量
dimension: int - 向量维度
metricType: String - 距离度量类型 (l2/cosine/dot)",InvertedFileIndex 实例,O(1),O(nlist),✅ 已实现,InvertedFileIndex.java:52-65
倒排索引,InvertedFileIndex,train,"训练 IVF 索引 (KMeans 聚类)","trainingVectors: float[][] - 训练向量数组",void,O(n×k×d×i),O(n×d + k×d),✅ 已实现,InvertedFileIndex.java:73-83
倒排索引,InvertedFileIndex,addVector,"添加单个向量到索引","docId: String - 文档 ID
vector: float[] - 向量
metadata: Map<String, Object> - 元数据",void,O(k×d),O(d),✅ 已实现,InvertedFileIndex.java:92-113
